Inventory_ID,Product_ID,Warehouse,Stock_Available,Reorder_Level,Supplier,Last_Restock_Date,Warehouse_City
I001,P001,WH-B,39,82,Alpha,2025-02-20,Mumbai
I002,P002,WH-A,435,49,,2025-03-17,Mumbai
I003,P003,WH-C,490,52,Gamma,2025-06-22,Delhi
I004,P004,WH-A,258,71,Beta,2025-07-09,Jaipur
I005,P005,WH-C,-5,69,,2025-04-10,Mumbai
I006,P006,WH-A,182,82,Alpha,2025-04-01,Kolkata
I007,P007,WH-B,50,61,Beta,2025-07-18,Lucknow
I008,P008,WH-B,171,99,Beta,2025-07-01,Delhi
I009,P009,WH-B,42,69,Gamma,2025-04-23,Delhi
I010,P010,WH-B,62,49,,2025-03-04,Mumbai
I011,P011,WH-A,301,66,Alpha,2025-03-09,Kolkata
I012,P012,WH-A,126,67,Beta,2025-01-02,Mumbai
I013,P013,WH-B,105,87,Alpha,2025-02-13,Delhi
I014,P014,WH-C,36,100,Beta,2025-04-17,Bengaluru
I015,P015,WH-C,426,50,Gamma,2025-01-17,Mumbai
I016,P016,WH-B,59,90,Gamma,2025-06-29,Kolkata
I017,P017,WH-A,150,83,,2025-06-24,Jaipur
I018,P018,WH-A,239,61,Beta,2025-01-24,Mumbai
I019,P019,WH-A,192,28,Alpha,2025-07-13,Bengaluru
I020,P020,WH-A,258,66,Gamma,2025-01-09,Delhi
I021,P021,WH-A,417,25,Alpha,2025-06-18,Mumbai
I022,P022,WH-C,474,100,,2025-05-18,Jaipur
I023,P023,WH-B,361,72,Alpha,2025-01-07,Lucknow
I024,P024,WH-B,312,89,,2025-04-17,Delhi
I025,P025,WH-B,102,21,,2025-03-28,Delhi
I026,P026,WH-B,9,93,Alpha,2025-04-15,Kolkata
I027,P027,WH-A,443,26,Beta,2025-01-10,Jaipur
I028,P028,WH-B,415,94,,2025-03-01,Mumbai
I029,P029,WH-B,390,30,Alpha,2025-07-05,Jaipur
I030,P030,WH-C,56,96,,2025-06-21,Mumbai
I031,P031,WH-C,81,96,Alpha,2025-05-14,Mumbai
I032,P032,WH-C,82,55,Gamma,2025-02-23,Jaipur
I033,P033,WH-B,132,75,,2025-06-29,Lucknow
I034,P034,WH-B,333,52,,2025-02-13,Delhi
I035,P035,WH-C,52,77,Gamma,2025-02-06,Bengaluru
I036,P036,WH-A,199,92,Alpha,2025-07-08,Delhi
I037,P037,WH-C,417,97,Alpha,2025-05-21,Delhi
I038,P038,WH-C,94,22,Alpha,2025-03-16,Bengaluru
I039,P039,WH-A,236,28,Beta,2025-02-18,Delhi
I040,P040,WH-A,453,43,Beta,2025-06-21,Jaipur
I041,P041,WH-B,454,55,Beta,2025-03-14,Mumbai
I042,P042,WH-A,71,43,,2025-01-14,Jaipur
I043,P043,WH-B,366,61,Beta,2025-06-01,Jaipur
I044,P044,WH-C,467,58,Gamma,2025-04-08,Jaipur
I045,P045,WH-A,227,90,Gamma,2025-06-22,Kolkata
I046,P046,WH-C,317,30,Beta,2025-02-17,Jaipur
I047,P047,WH-C,92,90,,2025-04-05,Mumbai
I048,P048,WH-C,494,38,,2025-07-09,Kolkata
I049,P049,WH-A,359,40,Gamma,2025-05-12,Mumbai
I050,P050,WH-C,478,64,Alpha,2025-06-01,Delhi
I051,P051,WH-C,162,92,Alpha,2025-05-05,Mumbai
I052,P052,WH-C,124,58,Beta,2025-05-31,Jaipur
I053,P053,WH-A,236,98,,2025-02-14,Lucknow
I054,P054,WH-A,445,70,,2025-06-23,Kolkata
I055,P055,WH-B,293,90,Alpha,2025-01-23,Jaipur
I056,P056,WH-A,8,93,Alpha,2025-04-30,Lucknow
I057,P057,WH-A,148,22,,2025-05-23,Delhi
I058,P058,WH-B,428,58,,2025-02-12,Kolkata
I059,P059,WH-B,360,73,Beta,2025-03-18,Jaipur
I060,P060,WH-A,3,49,Alpha,2025-02-01,Delhi
I061,P061,WH-A,161,76,,2025-03-23,Lucknow
I062,P062,WH-C,48,45,,2025-04-12,Mumbai
I063,P063,WH-B,277,23,,2025-01-18,Delhi
I064,P064,WH-A,435,43,,2025-01-28,Delhi
I065,P065,WH-A,12,29,Beta,2025-06-01,Mumbai
I066,P066,WH-A,415,87,Alpha,2025-04-18,Lucknow
I067,P067,WH-C,471,58,Alpha,2025-04-23,Lucknow
I068,P068,WH-A,71,61,,2025-04-17,Delhi
I069,P069,WH-A,304,95,Alpha,2025-01-11,Bengaluru
I070,P070,WH-A,299,60,Gamma,2025-05-29,Mumbai
I071,P071,WH-C,119,48,Beta,2025-02-04,Bengaluru
I072,P072,WH-C,225,43,Beta,2025-02-27,Mumbai
I073,P073,WH-B,64,23,,2025-06-20,Jaipur
I074,P074,WH-A,258,71,Beta,2025-01-09,Delhi
I075,P075,WH-B,457,23,Gamma,2025-05-04,Delhi
I076,P076,WH-C,432,77,,2025-05-18,Mumbai
I077,P077,WH-A,49,66,,2025-05-13,Jaipur
I078,P078,WH-C,173,36,Gamma,2025-02-01,Delhi
I079,P079,WH-C,10,91,Beta,2025-02-08,Kolkata
I080,P080,WH-A,276,27,Gamma,2025-05-02,Lucknow
I081,P081,WH-C,217,36,Gamma,2025-03-10,Lucknow
I082,P082,WH-A,239,55,Gamma,2025-05-01,Bengaluru
I083,P083,WH-C,55,83,Gamma,2025-01-26,Jaipur
I084,P084,WH-C,187,39,Alpha,2025-05-06,Kolkata
I085,P085,WH-B,97,52,Beta,2025-05-13,Bengaluru
I086,P086,WH-C,304,88,,2025-02-24,Kolkata
I087,P087,WH-A,485,30,,2025-07-09,Jaipur
I088,P088,WH-B,396,25,Alpha,2025-03-01,Jaipur
I089,P089,WH-A,73,68,,2025-07-05,Bengaluru
I090,P090,WH-A,258,59,,2025-02-01,Mumbai
I091,P091,WH-B,466,83,Beta,2025-02-02,Delhi
