Product_ID,Product_Name,Category,Sub_Category,Brand,Cost_Price,Selling_Price,Supplier,Rating,Launch_Date
P001,Phone,Electronics,Phone,Zen,4413,8221,Alpha,2.0,2024-04-25
P002,Tea,Grocery,Tea,ABC,3554,6384,Gamma,4.0,2025-10-09
P003,Sofa,Furniture,Sofa,Prime,4450,5756,Beta,1.0,2024-08-28
P004,Desk,Furniture,Desk,Prime,4088,7269,,2.0,2025-07-12
P005,Phone,Electronics,Phone,ABC,572,779,,1.0,2025-01-26
P006,Phone,Electronics,Phone,Orbit,4770,7775,Beta,4.0,2025-02-03
P007,Laptop,Electronics,Laptop,Orbit,3910,7712,,5.0,2024-12-15
P008,Tea,Grocery,Tea,Zen,1403,1798,Alpha,4.0,2025-02-26
P009,Desk,Furniture,Desk,Zen,2675,4396,,2.0,2024-07-02
P010,Laptop,Electronics,Laptop,Orbit,917,1285,Beta,4.0,2024-03-05
P011,Chair,Furniture,Chair,ABC,4722,6054,,4.0,2025-11-30
P012,Rice,Grocery,Rice,Zen,1106,1631,Gamma,3.0,2025-02-06
P013,Chair,Furniture,Chair,Orbit,2351,3825,Gamma,1.0,2024-04-08
P014,Desk,Furniture,Desk,ABC,1786,2804,,2.0,2025-10-09
P015,Tea,Grocery,Tea,Prime,124,153,Beta,2.0,2024-08-20
P016,Rice,Grocery,Rice,Orbit,3972,6304,Gamma,,2024-07-08
P017,Oil,Grocery,Oil,Nova,2702,3582,,,2024-05-13
P018,Desk,Furniture,Desk,Zen,3171,5312,Alpha,2.0,2025-01-12
P019,Laptop,Electronics,Laptop,Prime,4132,7479,,5.0,2024-08-03
P020,Oil,Electroncs,Oil,Zen,4057,5149,,4.0,2025-11-13
P021,Phone,Electronics,Phone,Nova,3661,6486,Beta,3.0,2025-02-03
P022,Tablet,Electronics,Tablet,Nova,4463,7815,Alpha,,2024-02-26
P023,Sofa,Furniture,Sofa,Prime,3600,6921,Beta,,2024-01-07
P024,Tablet,Electronics,Tablet,Orbit,4349,7012,,5.0,2025-10-04
P025,Tablet,Electronics,Tablet,Zen,529,722,Gamma,,2024-07-30
P026,Chair,Furniture,Chair,Nova,3183,4664,,3.0,2025-03-06
P027,Tea,Grocery,Tea,Orbit,2822,5596,Alpha,2.0,2024-11-27
P028,Laptop,Electronics,Laptop,Zen,4785,6906,Beta,3.0,2024-09-11
P029,Oil,Grocery,Oil,Zen,1276,1967,,4.0,2024-09-18
P030,Rice,Grocery,Rice,Orbit,2617,4787,Beta,5.0,2025-02-04
P031,Desk,Furniture,Desk,Prime,1365,2387,Alpha,4.0,2024-08-07
P032,Laptop,Electronics,Laptop,Prime,2799,3880,,,2024-07-04
P033,Tea,Grocery,Tea,Prime,2932,4933,,2.0,2025-09-16
P034,Sofa,Furniture,Sofa,Zen,1153,2110,Beta,2.0,2025-08-13
P035,Phone,Electronics,Phone,ABC,482,806,,1.0,2025-08-25
P036,Oil,Grocery,Oil,Zen,4062,6704,Alpha,1.0,2024-11-22
P037,Rice,Grocery,Rice,Nova,2832,4897,,4.0,2025-10-18
P038,Tea,Electroncs,Tea,Orbit,735,961,,4.0,2024-10-07
P039,Desk,Furniture,Desk,Zen,3994,7621,Alpha,4.0,2025-09-04
