Order_ID,Order_Date,Customer_ID,Product_ID,Region,State,City,Salesperson,Quantity,Unit_Price,Discount,Sales_Amount,Cost_Amount,Profit,Payment_Method,Order_Status,Delivery_Days
O001,2025-03-09,C169,P072,West,Mumbai,Mumbai,Karan,7,1868,22.0,10199.28,8799,1400.2800000000007,Wallet,Cancelled,9.0
O002,2025-03-31,C055,P175,East,Kolkata,Kolkata,Riya,15,3973,20.0,47676.0,45750,1926.0,Wallet,Cancelled,10.0
O003,2025-01-28,C131,P004,East,Kolkata,Kolkata,Riya,1,2556,3.0,2479.3199999999997,2030,449.3199999999997,Wallet,Returned,2.0
O004,2025-06-30,C177,P007,West,Mumbai,Mumbai,Neha,2,3639,12.0,6404.64,6338,66.64000000000033,Card,Delivered,
O005,2025-07-18,C129,P160,North,Delhi,Delhi,Karan,6,671,5.0,3824.7,2706,1118.6999999999998,Wallet,Returned,7.0
O006,2025-04-27,C005,P096,South,Bengaluru,Bengaluru,Karan,10,1962,22.0,15303.6,12520,2783.6000000000004,Wallet,Returned,1.0
O007,2025-02-28,C160,P031,West,Mumbai,Mumbai,Neha,2,1419,,2838.0,996,1842.0,Card,Returned,3.0
O008,2025-09-11,C082,P177,North,Jaipur,Jaipur,Aman,15,5911,7.0,82458.45,63645,18813.449999999997,Wallet,Returned,3.0
,2025-10-14,C187,P179,North,Jaipur,Jaipur,Riya,1,681,20.0,544.8000000000001,647,-102.19999999999993,UPI,Delivered,2.0
O010,2025-11-15,C024,P057,North,Lucknow,Lucknow,Riya,12,4651,,55812.0,37620,18192.0,Cash,Delivered,2.0
O011,2025-12-04,C028,P072,North,Lucknow,Lucknow,Karan,8,323,11.0,2299.76,2168,131.76000000000022,UPI,Returned,2.0
O012,2025-08-21,C140,P062,East,Kolkata,Kolkata,Aman,12,2198,17.0,21892.079999999998,16152,5740.079999999998,Cash,Delivered,5.0
O013,2025-02-12,C199,P007,North,Jaipur,Jaipur,Riya,12,5787,17.0,57638.52,48504,9134.519999999997,Card,Returned,3.0
O014,2025-04-01,C060,P167,North,Jaipur,Jaipur,Aman,15,2034,7.0,28374.3,10275,18099.3,Cash,Returned,7.0
