Inventory_ID,Product_ID,Warehouse,Stock_Available,,,
I001,P001,WH-B,39,,,
I002,P002,WH-A,435,,,
I003,P003,WH-C,490,,,
I004,P004,WH-A,258,,,
I005,P005,WH-C,-5,,,
I006,P006,WH-A,182,,,
I007,P007,WH-B,50,,,
I008,P008,WH-B,171,,,
I009,P009,WH-B,42,,,
I010,P010,WH-B,62,,,
I011,P011,WH-A,301,,,
I012,P012,WH-A,126,,,
I013,P013,WH-B,105,,,
I014,P014,WH-C,36,,,
I015,P015,WH-C,426,,,
I016,P016,WH-B,59,,,
I017,P017,WH-A,150,,,
I018,P018,WH-A,239,,,
I019,P019,WH-A,192,,,
I020,P020,WH-A,258,,,
I021,P021,WH-A,417,,,
I022,P022,WH-C,474,,,
I023,P023,WH-B,361,,,
I024,P024,WH-B,312,,,
I025,P025,WH-B,102,,,
I026,P026,WH-B,9,,,
I027,P027,WH-A,443,,,
I028,P028,WH-B,415,,,
I029,P029,WH-B,390,,,
I030,P030,WH-C,56,,,
I031,P031,WH-C,81,,,
I032,P032,WH-C,82,,,
I033,P033,WH-B,132,,,
I034,P034,WH-B,333,,,
I035,P035,WH-C,52,,,
I036,P036,WH-A,199,,,
I037,P037,WH-C,417,,,
I038,P038,WH-C,94,,,
I039,P039,WH-A,236,,,
I040,P040,WH-A,453,,,
I041,P041,WH-B,454,,,
I042,P042,WH-A,71,,,
I043,P043,WH-B,366,,,
I044,P044,WH-C,467,,,
I045,P045,WH-A,227,,,
I046,P046,WH-C,317,,,
I047,P047,WH-C,92,,,
I048,P048,WH-C,494,,,
I049,P049,WH-A,359,,,
I050,P050,WH-C,478,,,
I051,P051,WH-C,162,,,
I052,P052,WH-C,124,,,
I053,P053,WH-A,236,,,
I054,P054,WH-A,445,,,
I055,P055,WH-B,293,,,
I056,P056,WH-A,8,,,
I057,P057,WH-A,148,,,
I058,P058,WH-B,428,,,
I059,P059,WH-B,360,,,
I060,P060,WH-A,3,,,
I061,P061,WH-A,161,,,
I062,P062,WH-C,48,,,
I063,P063,WH-B,277,,,
I064,P064,WH-A,435,,,
I065,P065,WH-A,12,,,
I066,P066,WH-A,415,,,
I067,P067,WH-C,471,,,
I068,P068,WH-A,71,,,
I069,P069,WH-A,304,,,
I070,P070,WH-A,299,,,
I071,P071,WH-C,119,,,
I072,P072,WH-C,225,,,
I073,P073,WH-B,64,,,
I074,P074,WH-A,258,,,
I075,P075,WH-B,457,,,
I076,P076,WH-C,432,,,
I077,P077,WH-A,49,,,
I078,P078,WH-C,173,,,
I079,P079,WH-C,10,,,
I080,P080,WH-A,276,,,
I081,P081,WH-C,217,,,
I082,P082,WH-A,239,,,
I083,P083,WH-C,55,,,
I084,P084,WH-C,187,,,
I085,P085,WH-B,97,,,
I086,P086,WH-C,304,,,
I087,P087,WH-A,485,,,
I088,P088,WH-B,396,,,
I089,P089,WH-A,73,,,
I090,P090,WH-A,258,,,
I091,P091,WH-B,466,,,
I092,P092,WH-B,477,,,
I093,P093,WH-C,2,,,
I094,P094,WH-B,420,,,
I095,P095,WH-A,259,,,
I096,P096,WH-C,168,,,
I097,P097,WH-A,184,,,
I098,P098,WH-C,3,,,
I099,P099,WH-B,95,,,
I100,P100,WH-C,285,,,
I101,P101,WH-C,4,,,
I102,P102,WH-B,450,,,
I103,P103,WH-B,426,,,
I104,P104,WH-A,443,,,
I105,P105,WH-A,68,,,
I106,P106,WH-B,395,,,
I107,P107,WH-B,340,,,
I108,P108,WH-C,217,,,
I109,P109,WH-A,321,,,
I110,P110,WH-A,322,,,
I111,P111,WH-B,311,,,
I112,P112,WH-B,275,,,
I113,P113,WH-B,397,,,
I114,P114,WH-B,24,,,
I115,P115,WH-C,164,,,
I116,P116,WH-C,239,,,
I117,P117,WH-C,306,,,
I118,P118,WH-C,191,,,
I119,P119,WH-B,465,,,
I120,P120,WH-C,411,,,
I121,P121,WH-B,215,,,
I122,P122,WH-B,24,,,
I123,P123,WH-A,145,,,
I124,P124,WH-B,216,,,
I125,P125,WH-B,162,,,
I126,P126,WH-C,133,,,
I127,P127,WH-B,260,,,
I128,P128,WH-B,279,,,
I129,P129,WH-A,155,,,
I130,P130,WH-B,87,,,
I131,P131,WH-B,208,,,
I132,P132,WH-A,30,,,
I133,P133,WH-C,350,,,
I134,P134,WH-C,468,,,
I135,P135,WH-C,233,,,
I136,P136,WH-B,304,,,
I137,P137,WH-C,357,,,
I138,P138,WH-B,32,,,
I139,P139,WH-B,92,,,
I140,P140,WH-A,210,,,
I141,P141,WH-C,104,,,
I142,P142,WH-A,441,,,
I143,P143,WH-A,347,,,
I144,P144,WH-B,130,,,
