Product_ID,Product_Name,Category,Sub_Category,Brand,Cost_Price,Selling_Price,,,
P001,Phone,Electronics,Phone,Zen,4413,8221,,,
P002,Tea,Grocery,Tea,ABC,3554,6384,,,
P003,Sofa,Furniture,Sofa,Prime,4450,5756,,,
P004,Desk,Furniture,Desk,Prime,4088,7269,,,
P005,Phone,Electronics,Phone,ABC,572,779,,,
P006,Phone,Electronics,Phone,Orbit,4770,7775,,,
P007,Laptop,Electronics,Laptop,Orbit,3910,7712,,,
P008,Tea,Grocery,Tea,Zen,1403,1798,,,
P009,Desk,Furniture,Desk,Zen,2675,4396,,,
P010,Laptop,Electronics,Laptop,Orbit,917,1285,,,
P011,Chair,Furniture,Chair,ABC,4722,6054,,,
P012,Rice,Grocery,Rice,Zen,1106,1631,,,
P013,Chair,Furniture,Chair,Orbit,2351,3825,,,
P014,Desk,Furniture,Desk,ABC,1786,2804,,,
P015,Tea,Grocery,Tea,Prime,124,153,,,
P016,Rice,Grocery,Rice,Orbit,3972,6304,,,
P017,Oil,Grocery,Oil,Nova,2702,3582,,,
P018,Desk,Furniture,Desk,Zen,3171,5312,,,
P019,Laptop,Electronics,Laptop,Prime,4132,7479,,,
P020,Oil,Electroncs,Oil,Zen,4057,5149,,,
P021,Phone,Electronics,Phone,Nova,3661,6486,,,
P022,Tablet,Electronics,Tablet,Nova,4463,7815,,,
P023,Sofa,Furniture,Sofa,Prime,3600,6921,,,
P024,Tablet,Electronics,Tablet,Orbit,4349,7012,,,
P025,Tablet,Electronics,Tablet,Zen,529,722,,,
P026,Chair,Furniture,Chair,Nova,3183,4664,,,
P027,Tea,Grocery,Tea,Orbit,2822,5596,,,
P028,Laptop,Electronics,Laptop,Zen,4785,6906,,,
P029,Oil,Grocery,Oil,Zen,1276,1967,,,
P030,Rice,Grocery,Rice,Orbit,2617,4787,,,
P031,Desk,Furniture,Desk,Prime,1365,2387,,,
P032,Laptop,Electronics,Laptop,Prime,2799,3880,,,
P033,Tea,Grocery,Tea,Prime,2932,4933,,,
P034,Sofa,Furniture,Sofa,Zen,1153,2110,,,
P035,Phone,Electronics,Phone,ABC,482,806,,,
P036,Oil,Grocery,Oil,Zen,4062,6704,,,
P037,Rice,Grocery,Rice,Nova,2832,4897,,,
P038,Tea,Electroncs,Tea,Orbit,735,961,,,
P039,Desk,Furniture,Desk,Zen,3994,7621,,,
P040,Tea,Electroncs,Tea,Prime,3434,5716,,,
P041,Tablet,Electronics,Tablet,ABC,513,646,,,
P042,Chair,Furniture,Chair,Prime,1833,3008,,,
P043,Desk,Furniture,Desk,ABC,502,827,,,
P044,Desk,Furniture,Desk,Nova,118,181,,,
P045,Sofa,Furniture,Sofa,Prime,2569,3952,,,
P046,Tea,Grocery,Tea,ABC,1895,2392,,,
P047,Laptop,Electronics,Laptop,Prime,2907,4029,,,
P048,Tablet,Electronics,Tablet,Orbit,1325,2347,,,
P049,Desk,Furniture,Desk,Prime,2472,4875,,,
P050,Rice,Grocery,Rice,Nova,1148,1565,,,
P051,Sofa,Furniture,Sofa,Nova,4973,6576,,,
P052,Desk,Furniture,Desk,Nova,1627,3236,,,
P053,Chair,Furniture,Chair,Zen,3689,6069,,,
P054,Oil,Grocery,Oil,Nova,4005,7564,,,
P055,Sofa,Furniture,Sofa,ABC,4986,9970,,,
P056,Desk,Furniture,Desk,Zen,4944,6413,,,
P057,Desk,Furniture,Desk,Prime,213,352,,,
P058,Phone,Electronics,Phone,Prime,3508,5799,,,
P059,Phone,Electronics,Phone,Zen,478,842,,,
P060,Sofa,Furniture,Sofa,Orbit,670,1252,,,
P061,Oil,Grocery,Oil,Orbit,848,1072,,,
P062,Tablet,Electronics,Tablet,Prime,561,874,,,
P063,Tablet,Electronics,Tablet,ABC,1692,2417,,,
P064,Desk,Electroncs,Desk,Prime,1775,2792,,,
P065,Tea,Grocery,Tea,Orbit,4644,7126,,,
P066,Oil,Grocery,Oil,Orbit,4983,6664,,,
P067,Sofa,Furniture,Sofa,Orbit,2293,3812,,,
P068,Laptop,Electronics,Laptop,ABC,1698,2197,,,
P069,Laptop,Electronics,Laptop,Orbit,3709,6706,,,
P070,Desk,Electroncs,Desk,ABC,2930,4197,,,
P071,Rice,Grocery,Rice,Nova,4411,7218,,,
P072,Laptop,Electronics,Laptop,Zen,1876,3618,,,
P073,Desk,Furniture,Desk,Nova,2433,4081,,,
P074,Desk,Furniture,Desk,Zen,428,663,,,
P075,Chair,Furniture,Chair,ABC,863,1441,,,
P076,Chair,Furniture,Chair,ABC,4288,6916,,,
P077,Rice,Grocery,Rice,ABC,3772,7373,,,
P078,Tablet,Electronics,Tablet,Orbit,2445,4585,,,
P079,Tablet,Electroncs,Tablet,Zen,2462,4179,,,
P080,Chair,Furniture,Chair,Orbit,3586,6669,,,
P081,Tea,Grocery,Tea,Nova,3661,5140,,,
P082,Chair,Furniture,Chair,Prime,2850,3991,,,
P083,Chair,Furniture,Chair,ABC,3414,6502,,,
