Order_ID,Order_Date,Customer_ID,Product_ID,Region,State,City,Quantity, Unit_Price ,Discount, Sales_Amount , Cost_Amount , Profit ,country
O001,09-03-2025,C169,P072,West,Mumbai,Mumbai,7," ? 1,868.00 ",22,10199.28," ? 8,799.00 ",1400.28,India
O002,31-03-2025,C055,P175,East,Kolkata,Kolkata,15," ? 3,973.00 ",20,47676," ? 45,750.00 ",1926,India
O003,28-01-2025,C131,P004,East,Kolkata,Kolkata,1," ? 2,556.00 ",3,2479.32," ? 2,030.00 ",449.32,India
O004,30-06-2025,C177,P007,West,Mumbai,Mumbai,2," ? 3,639.00 ",12,6404.64," ? 6,338.00 ",66.64,India
O005,18-07-2025,C129,P160,North,Delhi,Delhi,6, ? 671.00 ,5,3824.7," ? 2,706.00 ",1118.7,India
O006,27-04-2025,C005,P096,South,Bengaluru,Bengaluru,10," ? 1,962.00 ",22,15303.6," ? 12,520.00 ",2783.6,India
O008,11-09-2025,C082,P177,North,Jaipur,Jaipur,15," ? 5,911.00 ",7,82458.45," ? 63,645.00 ",18813.45,India
O011,04-12-2025,C028,P072,North,Lucknow,Lucknow,8, ? 323.00 ,11,2299.76," ? 2,168.00 ",131.76,India
O012,21-08-2025,C140,P062,East,Kolkata,Kolkata,12," ? 2,198.00 ",17,21892.08," ? 16,152.00 ",5740.08,India
O013,12-02-2025,C199,P007,North,Jaipur,Jaipur,12," ? 5,787.00 ",17,57638.52," ? 48,504.00 ",9134.52,India
O014,01-04-2025,C060,P167,North,Jaipur,Jaipur,15," ? 2,034.00 ",7,28374.3," ? 10,275.00 ",18099.3,India
O015,23-03-2025,C027,P183,East,Kolkata,Kolkata,10," ? 3,995.00 ",11,35555.5," ? 32,690.00 ",2865.5,India
O016,16-05-2025,C096,P068,North,Delhi,Delhi,13," ? 5,305.00 ",20,55172," ? 37,414.00 ",17758,India
O017,13-03-2025,C099,P108,West,Mumbai,Mumbai,7," ? 3,287.00 ",14,19787.74," ? 20,580.00 ",-792.26,India
O018,07-12-2025,C064,P094,North,Delhi,Delhi,3," ? 3,521.00 ",10,9506.7," ? 4,698.00 ",4808.7,India
O019,27-06-2025,C088,P060,North,Delhi,Delhi,5," ? 3,870.00 ",27,14125.5," ? 12,550.00 ",1575.5,India
O020,08-10-2025,C030,P045,North,Jaipur,Jaipur,12," ? 3,848.00 ",3,44790.72," ? 35,364.00 ",9426.72,India
O021,01-01-2025,C068,P079,South,Bengaluru,Bengaluru,5," ? 5,887.00 ",26,21781.9," ? 14,865.00 ",6916.9,India
O022,07-10-2025,C116,P154,East,Kolkata,Kolkata,12," ? 1,212.00 ",26,10762.56," ? 3,828.00 ",6934.56,India
O024,13-08-2025,C165,P139,South,Bengaluru,Bengaluru,2," ? 3,572.00 ",16,6000.96," ? 6,562.00 ",-561.04,India
O025,10-06-2025,C057,P157,North,Jaipur,Jaipur,6, ? 400.00 ,11,2136," ? 2,292.00 ",-156,India
O026,09-01-2025,C140,P128,North,Lucknow,Lucknow,6," ? 1,944.00 ",12,10264.32," ? 8,310.00 ",1954.32,India
O027,26-09-2025,C021,P108,North,Delhi,Delhi,3, ? 599.00 ,27,1311.81, ? 636.00 ,675.81,India
O029,24-12-2025,C141,P093,South,Bengaluru,Bengaluru,14," ? 2,916.00 ",27,29801.52," ? 35,616.00 ",-5814.48,India
O030,07-08-2025,C067,P149,East,Kolkata,Kolkata,4, ? 802.00 ,5,3047.6," ? 3,040.00 ",7.6,India
O031,29-11-2025,C011,P157,North,Jaipur,Jaipur,12," ? 4,285.00 ",25,38565," ? 32,748.00 ",5817,India
O032,03-06-2025,C070,P134,North,Lucknow,Lucknow,6," ? 4,374.00 ",23,20207.88," ? 10,302.00 ",9905.88,India
O033,28-11-2025,C122,P183,North,Jaipur,Jaipur,4, ? 701.00 ,15,2383.4," ? 2,536.00 ",-152.6,India
O034,04-05-2025,C086,P156,East,Kolkata,Kolkata,3," ? 5,487.00 ",22,12839.58," ? 2,655.00 ",10184.58,India
O035,23-12-2025,C124,P088,North,Delhi,Delhi,6," ? 3,988.00 ",30,16749.6," ? 4,992.00 ",11757.6,India
O036,03-08-2025,C017,P069,North,Delhi,Delhi,7," ? 3,193.00 ",19,18104.31," ? 12,929.00 ",5175.31,India
O037,09-09-2025,C156,P070,West,Mumbai,Mumbai,7," ? 3,704.00 ",25,19446," ? 15,736.00 ",3710,India
O038,26-12-2025,C164,P152,West,Mumbai,Mumbai,3," ? 4,014.00 ",4,11560.32," ? 2,478.00 ",9082.32,India
O039,17-05-2025,C110,P159,East,Kolkata,Kolkata,5," ? 4,881.00 ",19,19768.05," ? 23,315.00 ",-3546.95,India
O040,12-04-2025,C049,P136,North,Delhi,Delhi,10," ? 2,438.00 ",6,22917.2," ? 5,440.00 ",17477.2,India
O041,15-03-2025,C052,P042,North,Delhi,Delhi,11," ? 1,953.00 ",2,21053.34," ? 19,910.00 ",1143.34,India
O042,05-02-2025,C160,P039,West,Mumbai,Mumbai,2," ? 2,745.00 ",21,4337.1," ? 2,092.00 ",2245.1,India
O043,19-09-2025,C102,P160,South,Bengaluru,Bengaluru,11, ? 360.00 ,26,2930.4," ? 2,937.00 ",-6.6,India
